Temp;fitted;Species;Site;MHWDays;Year ;Size ;Impacted
26,1818;3,1835;Corallium;Pzzu_cor;NA;NA;NA;NA
26,2323;3,0522;Corallium;Pzzu_cor;NA;NA;NA;NA
26,2828;2,9366;Corallium;Pzzu_cor;NA;NA;NA;NA
26,3333;2,8359;Corallium;Pzzu_cor;NA;NA;NA;NA
26,3838;2,7493;Corallium;Pzzu_cor;20;2018;0,35;Yes
26,4343;2,6758;Corallium;Pzzu_cor;NA;NA;NA;NA
26,4848;2,6146;Corallium;Pzzu_cor;NA;NA;NA;NA
26,5354;2,5649;Corallium;Pzzu_cor;NA;NA;NA;NA
26,5859;2,5258;Corallium;Pzzu_cor;NA;NA;NA;NA
26,6364;2,4965;Corallium;Pzzu_cor;NA;NA;NA;NA
26,6869;2,4762;Corallium;Pzzu_cor;NA;NA;NA;NA
26,7374;2,464;Corallium;Pzzu_cor;NA;NA;NA;NA
26,7879;2,4591;Corallium;Pzzu_cor;NA;NA;NA;NA
26,8384;2,4607;Corallium;Pzzu_cor;NA;NA;NA;NA
26,8889;2,468;Corallium;Pzzu_cor;NA;NA;NA;NA
26,9394;2,4801;Corallium;Pzzu_cor;NA;NA;NA;NA
26,9899;2,4963;Corallium;Pzzu_cor;NA;NA;NA;NA
27;2,5158;Corallium;Pzzu_cor;NA;NA;NA;NA
27,0909;2,5378;Corallium;Pzzu_cor;NA;NA;NA;NA
27,1414;2,5615;Corallium;Pzzu_cor;NA;NA;NA;NA
27,1919;2,5862;Corallium;Pzzu_cor;7;2003;0,21;Yes
27,2424;2,611;Corallium;Pzzu_cor;NA;NA;NA;NA
27,2929;2,6352;Corallium;Pzzu_cor;NA;NA;NA;NA
27,3434;2,6581;Corallium;Pzzu_cor;NA;NA;NA;NA
27,3939;2,6788;Corallium;Pzzu_cor;NA;NA;NA;NA
27,4444;2,6967;Corallium;Pzzu_cor;NA;NA;NA;Yes
27,4949;2,7111;Corallium;Pzzu_cor;NA;NA;NA;NA
27,5455;2,7211;Corallium;Pzzu_cor;NA;NA;NA;NA
27,596;2,726;Corallium;Pzzu_cor;NA;NA;NA;NA
27,6465;2,7252;Corallium;Pzzu_cor;NA;NA;NA;NA
27,697;2,718;Corallium;Pzzu_cor;NA;NA;NA;NA
27,7475;2,7036;Corallium;Pzzu_cor;NA;NA;NA;NA
27,798;2,6813;Corallium;Pzzu_cor;NA;NA;NA;NA
27,8485;2,6505;Corallium;Pzzu_cor;NA;NA;NA;NA
27,899;2,6104;Corallium;Pzzu_cor;NA;NA;NA;NA
27,9495;2,5605;Corallium;Pzzu_cor;NA;NA;NA;NA
28;2,5;Corallium;Pzzu_cor;NA;NA;NA;NA
22,5;;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23;83;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,0505;80,0255;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,101;77,125;Paramuricea;Pzzinu_par;37;2014;0,21;No
23,1515;74,2976;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,202;71,5425;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,2525;68,8586;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,303;66,2452;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,3535;63,7012;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,404;61,2257;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,4545;58,8179;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,5051;56,4768;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,5556;54,2014;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,6061;51,9908;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,6566;49,8441;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,7071;47,7604;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,7576;45,7386;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,8081;43,778;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,8586;41,8775;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,9091;40,0362;Paramuricea;Pzzinu_par;NA;NA;NA;NA
23,9596;38,2531;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,0101;36,5274;Paramuricea;Pzzinu_par;29;2009;0,21;No
24,0606;34,858;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,1111;33,2441;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,1616;31,6846;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,2121;30,1787;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,2626;28,7254;Paramuricea;Pzzinu_par;NA;NA;NA;NA
